Country of residence;CB Africa; CB Asia;CB Europe; CB North America;CB Oceania;CB South and Central America and Caribbean;CB Other and unknown places of birth; CB All countries of birth 
Australia;166094;1043140;2098131;70356;10658379;74278;746396;14856774
Austria;22397;59036;6578090;7625;1770;9731;795;6679444
Belgium;232434;62280;8160885;14141;1259;19992;538;8491529
Canada;277500;1886860;2306685;18791935;50010;587470;325;23900785
Czech Republic;1787;20690;8369031;1983;296;1446;176482;8571715
Denmark;26026;96503;4193964;9652;1855;7529;23089;4358618
Finland;8075;15130;4211190;3550;615;1555;4460;4244575
France;2745341;432843;44750979;48500;5566;85148;..;48068377
Greece;50957;83830;9080035;31021;20032;6210;1113;9273198
Hungary;1775;10297;8487581;2493;212;1015;6;8503379
Ireland;21525;24957;2960532;17988;6405;2928;270;3034605
Italy;407470;188783;47990827;67993;18035;219451;..;48892559
Japan;5069;107936078;27148;39973;8061;193467;14987;108224783
Luxembourg;5326;3635;342272;1120;119;1367;2503;356342
Mexico;809;9877;44678;112192;631;62499999;174452;62842638
Netherlands;215958;321267;11801946;11084;6300;291001;85854;12733410
New Zealand;30021;153246;270240;17892;2294250;4131;119853;2889633
Norway;28932;93160;3514124;15077;1376;13836;416;3666921
Poland;1998;9645;30737613;5799;336;1056;531969;31288416
Portugal;332393;15689;8273269;10391;856;66917;..;8699515
Slovak Republic;274;1443;3908134;854;41;212;405480;4316438
Spain;372120;79300;33645080;19880;3660;724940;3160;34848140
Sweden;56470;224730;6109280;13695;3140;56100;450;6463865
Switzerland;61628;93513;5469648;24527;4191;50061;339782;6043350
Türkiye;4349;71926;47474371;10752;1905;..;20529;47583832
United Kingdom;762575;1475375;44733023;193335;156804;324096;39276;47684484
United States;838233;7831803;5429571;186644088;255638;16165293;579;217165205
OECD - Total;6677536;122245036;350968327;206187896;13501742;81409229;2692764;783682530
